section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Midday,Set1,Draw1,6,446,25,1,4,3,2,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,6,579,135,1,4,3,3,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,7,188,24,1,6,3,3,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,7,278,334,1,1,3,1,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,7,666,2,1,1,3,2,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,078,134,1,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,27.8,hot20|superhot_set1|vertical1|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Midday,Set1,Draw1,3,036,124,2,6,3,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,088,14,2,7,1,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,038,144,2,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,049,155,2,6,3,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,034,145,2,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,347,345,2,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,27.7,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,3,003,14,4,7,3,3,1,0,0,0,1,0,1,1,20,0,1,0,27.55,hot20|vertical4|funnel_precol1|ls2_lane|straight_lane|set1_bonus
Midday,Set1,Draw2,1,016,122,4,5,3,3,1,1,0,1,0,0,1,1,16,1,1,0,27.45,hot16|superhot_set1|vertical4|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,334,45,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,233,34,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,235,134,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,335,14,2,7,1,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,789,345,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,048,145,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
