section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,6,2499,straight,16.0,"R2,R6",True,True,False,False,False,False,False,False,False,0,1,0,3,9924,2,31,False,4,3,0,0.0,5,0,0,0,1,0.0,1,0.0,0,2,0,2,1,0,False,straight|cov2|hp_repeat3|vstr2|mirror|set_chain2
Evening,Set1,Draw1,5,1124699,boxed,16.0,"R2,R8",True,False,False,False,False,False,False,False,False,1,2,0,2,9924116,1,22,False,4,2,1,0.0,1,0,0,1,1,0.0,4,0.0,0,2,0,2,1,0,False,boxed|cov2|hp_repeat2|mirror|hot1|perm2|set_chain2
Evening,Set1,Draw1,5,249,straight,16.0,"R2,R6",True,True,False,False,False,False,False,False,False,1,1,0,3,924,2,31,False,4,3,0,0.0,5,0,0,1,1,0.0,0,0.0,0,2,0,2,1,0,False,straight|cov2|hp_repeat3|vstr2|mirror|hot1|set_chain2
Evening,Set1,Draw1,5,1146,boxed,16.0,"R2,R4",True,False,False,False,False,False,False,False,False,1,2,0,4,4116,1,19,False,4,4,1,0.0,1,0,0,1,1,0.0,1,0.0,0,2,1,2,2,0,False,boxed|cov2|hp_repeat4|mirror|hot1|perm2|set_chain2|draw_chain2
Evening,Set1,Draw1,4,11246,boxed,16.0,"R2,R8",True,False,False,False,False,False,False,False,False,1,2,0,3,24116,1,22,False,4,3,1,0.0,1,0,0,1,1,0.0,2,0.0,0,2,1,2,2,0,False,boxed|cov2|hp_repeat3|mirror|hot1|perm2|set_chain2|draw_chain2
Evening,Set1,Draw1,4,1146,boxed,16.0,"R2,R4",True,False,False,False,False,False,False,False,False,1,2,0,4,4116,1,19,False,4,4,1,0.0,1,0,0,1,1,0.0,1,0.0,0,2,1,2,2,0,False,boxed|cov2|hp_repeat4|mirror|hot1|perm2|set_chain2|draw_chain2
Evening,Set1,Draw1,5,146,straight,16.0,R4,True,False,False,False,False,False,False,False,False,1,1,0,4,641,1,19,False,2,4,0,0.0,3,0,0,1,1,0.0,0,0.0,0,2,3,2,4,0,False,straight|cov1|hp_repeat4|mirror|hot1|set_chain2|draw_chain4
Evening,Set1,Draw1,4,146,straight,16.0,R4,True,False,False,False,False,False,False,False,False,1,1,0,4,641,1,19,False,2,4,0,0.0,3,0,0,1,1,0.0,0,0.0,0,2,3,2,4,0,False,straight|cov1|hp_repeat4|mirror|hot1|set_chain2|draw_chain4
Evening,Set1,Draw1,3,556,straight,16.0,R4,False,False,False,False,False,False,False,False,False,2,1,0,2,556,1,2,False,2,2,0,0.0,3,0,0,2,0,0.0,0,0.0,2,0,4,1,5,1,True,straight|cov1|hp_repeat2|hot2|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw1,5,1156,straight,16.0,R6,True,False,False,False,False,False,False,False,False,1,1,0,4,6115,1,6,False,2,4,0,0.0,3,0,0,1,1,0.0,1,0.0,0,2,2,2,3,0,False,straight|cov1|hp_repeat4|mirror|hot1|set_chain2|draw_chain3
