section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Combined,Set3,Draw1,6,3677,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,6,023,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,6,0223,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,5,023,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,5,0223,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,7,33477,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set3,Draw1,7,0368,straight,7.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,7,3348,straight,7.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,6,036,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,7,0339,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,7,2233,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,7,2339,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,7,22334,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set3,Draw1,7,223,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,6,0677,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,6,2233,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,6,2339,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,6,223,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
