kind,role,state,period,result,path,bytes,sha256
SOURCE,aux_core_pre_result_json,PuertoRico4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__PRE_RESULT.json,3211996,1ef43259dcfa0b33c15192b76d9019802cf0e6c712ff221eb3b7e9beb92b0a6e
SOURCE,aux_core_post_result_md,SouthCarolina4,Evening,505,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__Evening__505.md,22105,5c8c39c741c02cece00771d6e6f6181da568fd58b8a09d2915022fc23f2ceef5
SOURCE,aux_core_post_result_json,SouthCarolina4,Evening,505,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__Evening__505__POST_RESULT.json,33389,ebf8e46ebb549edd65c810a4969e441049850cf364013e4bcba58cdbe900cfbf
SOURCE,aux_core_pre_result_md,SouthCarolina4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__FULL_PRE_RESULT.md,45812,1691b70e2a73983f28fdb8b43826a249413b30cd234fa4d09278accd9b7b5120
SOURCE,aux_core_post_result_md,SouthCarolina4,Midday,455,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__Midday__455.md,23481,2c2c6937844630a37386490fe30ccbd8b1b17e53f2dc6f1c8f97487e5ee8b629
SOURCE,aux_core_post_result_json,SouthCarolina4,Midday,455,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__Midday__455__POST_RESULT.json,51981,f846ebcdcdab6b77a2df631ebd6927e2c4ba216cd9ceb3aade9c0eb3f8241393
SOURCE,aux_core_pre_result_json,SouthCarolina4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/SouthCarolina4/AUX_CORE__PRE_RESULT.json,3183784,62be855641db0207887744e8cac3930bed312c27662435263dae617371950d19
SOURCE,aux_core_post_result_md,Virginia4,Evening,188,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__Evening__188.md,21596,28ad69c75584320e7e9121e9c01bac4a08f1f546d4f01c970ec5b541b60cabf9
SOURCE,aux_core_post_result_json,Virginia4,Evening,188,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__Evening__188__POST_RESULT.json,32973,0dedfe42ac3d5b7053c39a7c8eb625bed9a484577b44c42f73f415afa2c47c8a
SOURCE,aux_core_pre_result_md,Virginia4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__FULL_PRE_RESULT.md,44706,83d8284ed672a6558a5cc6d15675491709efc56b11d0102e78751260032cfa58
