section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set2,Draw1,6,1889,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1988,1.0,straight|cov1|span2,24,False
Combined,Set1,Draw1,6,689,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,968,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw1,7,189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,198,1.0,straight|cov1|span3,24,False
Combined,Set1,Draw1,6,189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,198,1.0,straight|cov1|span3,24,False
Combined,Set1,Draw2,6,1899,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1998,1.0,straight|cov1|span2,24,False
Combined,Set1,Draw2,5,1899,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1998,1.0,straight|cov1|span2,24,False
Combined,Set1,Draw3,4,134,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,413,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw3,5,3468,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,6834,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw3,4,369,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw3,5,3689,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9836,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw4,3,346,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,436,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw4,4,3446,straight,8.0,R4,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,6344,1.0,straight|cov1|span2,24,False
